id,titulo,subtitular
020522nacional,profugo enfrente a policias,israel salguero escapo de la carcel en 2020 ayer disparo contra agentes antes de morir zacapa
020522occidente,multan a choferes,infringen ley al llevar polarizado en unidades y carecer de protocolos en san pedro sacatepequez
020522guate,la muerte lo esperaba,mario saban salio de su casa y minutos despues fue asesinado en el asentamiento jesus de la buena esperanza en la zona 6
020622nacional,matan a chofer y ayudante,sicarios les hacen la parada y los balean en colomba quetzaltenango
020722nacional,tragico encontronazo,jovenes huian tras chocar contra auto en villa nueva
020722occidente,contaminan el bosque,comunitarios molestos por botadero ilegal en aldea la federacion san marcos
020722centro,suman en el nido,colombiano harold estupinan le da la victoria a chimaltenango ante atletico mictlan
020722sur,cazan al venado,coatepeque despierta del letargo para vencer de visita 0 1 a suchitepequez
020722norte,empiezan con pie derecho,doblete de saul sanchez le da la victoria a heredia en juego contra manati fc en morales
020722oriente,se lucen en casa,sanarate fc madruga y celebra triunfo 2 0 frente a juventud pinulteca
020722guate,renido duelo,los albos intentan ir al frente pero no encuentran la ruta del gol ante sacachispas en jornada del torneo de clausura de la primera division
020822nacional,arde bodega,propietarios almacenaban juegos pirotecnicos en la zona 1 de la capital
020822occidente,transportistas se organizan,insisten en no pagar el seguro obligatorio
020822centro,baja vacunacion,salud senala que de 20 mil habitantes de santa maria de jesus solo 9 mil se han inmunizado contra el covid 19
020822sur,pensaron que estaba muerto,vecinos hallan a hombre en el fondo de hondonada en chiquirines la blanca
020822norte,estrenan puente,vecinos de cuatro aldeas estaban incomunicados desde el paso de eta e iota en los amates
020822oriente,picop lo arrolla,viraje en u y abuso de velocidad causan percance en la zona 2 de chiquimula
020822guate,agradecen bendiciones,el hoger de la familia rac se viste de fiesta al recibir la imagen del nino dios como dicta la tradicion en san juan sacatepequez
020922nacional,4 muertos en choque,camionero rebasaba y embiste a tuctuc en chisec alta verapaz
020922occidente,matan a comerciante,sicarios le disparan a quemarropa a juan fernando maldonado en la zona 7 de huehuetenango
020922centro,habra mas transporte,buscan cubrir las seis zonas de ciudad vieja con proyecto que empezaria en marzo
020922sur,choca contra arbol,conductora de 18 anos herida tras impacto en el sector alameda maza coatepeque
020922norte,se embarranca,chofer y pasajeros heridos en impacto con trailer de puerto barrios
020922oriente,muere en hospital,andrea lopez fue atacada a balazos en la zona 4 de chiquimula
020922guate,muere acuchillado,hombre intentaba escapar pero cae por la gravedad de las heridas en lomas de santa faz zona 18
021022nacional,cuidaba carros,mareros querian obligar a raul rodriguez a cobrar extorsion en la capital
021022occidente,renido empate,con dos goles por bando tejutla y juventud comiteca se reparten los puntos
021022centro,mas municipios en alerta roja,once poblados de chimaltenango registran aumento de contagios por covid
021022sur,hombre lo ataca ,victima herida con cuchillo en la ribera del suchiate en ayuda
021022norte,paso se complica,aguacero causa crecida del lago peten itza y cierran anillo externo de isla en flores
021022oriente,baja demanda de vacunas,area de salud de zacapa llama a completar esquema anticovid 19 en adolescentes
021022guate,ataque en san gaspar,alvaro gomez murio horas despues de haber sido herido en el sector los mendez en zona 16
021122nacional,agente muere en vuelco,quedan heridos tres policias en accidente en curva de sacapulas quiche
021122occidente,advierten de estafas ,municipalidad investiga venta ilegal de espacios en cementerio de san pedro sacatepequez
021122centro,vapulean a mototaxista,vecinos de tecpan guatemala acusan a helbert estuardo hernandez y acompanante de violar a dos mujeres
021122sur,sobrevive a ataque armado,nancy caceres recibio cinco tiros en la blanca san marcos
021122norte,esperan compradores,floristas ya estan listos para comercio por el dia del carino en ciudad flores
021122oriente,perece en hospital,atacan a balazos a joven que transitaba en ruta a shororagua chiquimula
021122guate,recogen verduras,a pocas cuadras cuadra de llegar al mercado 3 de mayo conductor de camion con productos vuelca en la zona 6
021222nacional,cae banda de asesinos,capturan a 14 extorsionistas en cateos en cinco departamentos
021222occidente,empiezan trabajos,pavimentacion beneficiara a tres municipios que conectan con san pedro necta
021222guate,arden locales,incendio consume tres comercios y tres bodegas en la zona 2 propietarios estiman las perdidas en miles de quetzales
021322nacional,de final de futbol a triple crimen,tras quedar campeones matan a dueno de equipo esposa y a jugador en la capital
021422nacional,asesinado a golpes,ladrones se llevan pertenencias de joven en villa nueva
021422occidente,cede el liderato,shecanos empatan con suchitepequez y bajan al segundo puesto
021422centro,reparten puntos,chimaltenango estuvo cerca de la victoria pero juventud pinulteca le amarga el festejo
021422sur,abejas lo dejan inconsciente,gabriel de leon trabajaba en el campo cuando fue atacado por enjambre en coatepeque
021422norte,descubren robo de madera,la policia halla un campamento de depredadores mexicanos durante patrullaje en la selva petenera
021422oriente,macheteados en cantina,dos amigos fueron atacados mientras bebian licor en gualan
021422guate,golea en casa,deportivo mixco se despacho con la cuchara grande frente a agua blanca en el estadio santo domingo de guzman
021522nacional,marco pappa pide perdon,cinco anos de carcel para exfutbolista por reincidencia
021522occidente,guerra contra delincuentes,vecinos se organizan contra ladrones y extorsionistas en la zona 4 huehueteca
021522centro,no se deje bajo el pasaje,piden denunciar abusos en transporte urbano de la antigua guatemala
021522sur,bachean por su cuenta,transportistas de malacantan unen recursos por falta de apoyo
021522norte,hacen recuento de los danos,autoridades contabilizan 37 viviendas afectadas por tornado en morales
021522oriente,embestido por auto,conductor irrespeta senal de transito al incorporarse a carril en chiquimula
021522guate,protegen su salud,cobertura de poblacion vacunada contra el covid 19 se amplia en mexico donde continua la demanda para completar el esquema
021622nacional,regresan en moto a juzgado al hamburguesa luego de intento de fuga capturados sacan de su casa al expresidente hondureno juan orlando hernandez para extraditarlo,-
021622occidente,preocupa muerte de reses,vecinos exigen a las autoridades vacunar al ganado en las aldeas el bojonal la lucha y el rincon
021622centro,enfrentan juicio,comerciantes de mercado municipal de la antigua guatemala son senalados de cuatro delitos
021622sur,listos para ciclo 2022,maestros del sector oficial retoman actividades presenciales y esperan a alumnos en malacatan
021622norte,temen perder el lago,alcaldes de peten solicitan fondos para proteccion del atractivo natural
021622oriente,chofer sale ileso,trailero pierde el control y vuelca en chiquimula
021722nacional,bajada de la muerte,trailer impacta contra seis vehiculos quedan dos fallecidos y trece heridos
021722occidente,estamos vivos de milagro,movimiento telurico deja destruccion en casas de adobe en totonicapan
021722centro,vias despejadas tras nueve horas,derrumbes afectaron la rn 10 la antigua guatemala patzun y patzicia chimaltenango
021722sur,casas se agrietan,familias temen que otro temblor las deje sin techo en catarina san marcos
021722norte,buscan atraer el turismo,empresarios buscan que la ciudad de flores sea marca internacional
021722oriente,casi celebraban,en el ultimo minuto el csd agua blanca empata 2 2 a sanarate fc en el estadio ayotero
021822nacional,cobraban q7000 por dpi,desarticulan banda que tramitaba documentos falsos para extranjeros que buscaban legalizarse en el pais
021822occidente,se infectan en la carcel,treinta y cinco presos estan contagiados de covid en totonicapan
021822centro,descubren mas danos,el calvario escuela de cristo y nuestra senora del pilar de zaragoza sufren grietas
021822sur,de 10 tiros matan a futbolista,eduardo aguilar habia recibido amenazas de mareros de colombia
021822norte,ejecutan a pintor,estaba secuestrado desde el domingo y aparece en terreno baldio de santo tomas de castilla
021822oriente,retoman obra atrasada,tras dos anos de espera inicia recapeo de 18 kms hacia jocotan que costara q61 millones
021822guate,no quieren mas accidentes,un dia despues de la tragedia en ciudad satelite en mixco autoridades realizan operativos viales
021922nacional,gasolina por las nubes q35 por galon,precio de los combustibles sigue al alza y pone todo mas caro
021922occidente,tres dias incomunicados,y donde estan las autoridades vecinos claman por pronta atencion en esquipulas palo gordo san marcos
021922guate,accidente saldra caro,taxista podria pagar q15 mil luego de derribar un poste en la calzada roosevelt
022022nacional,manana empiezan las clases,este lunes se inicia el ciclo escolar 2022 y solo en 116 municipios del pais serian presenciales enterese hoy de todos los detalles del regreso a las aulas
022122nacional,mensajero de la muerte,10 meses despues de cumplir condena por homicidio regresa a prision por asesinar a taxista en la capital
022122occidente,cayo en letrina,familiares de domingo puac lo buscaban desde el martes pero es hallado en fosa septica en san cristobal totonicapan
022122centro,aguantan embestida,cisnes de chimaltenango defienden resultado de 2 1 ante ganaderos de agua blanca
022122sur,serpientes se imponen en casa,coatepeque vence 1 0 a quiche y se ubica en lo mas alto del grupo a de la primera division
022122norte,lo buscan en eeuu,el excoronel otto fernando godoy fue detenido ayer en san benito peten
022122oriente,muere en su ley,presunto asaltante es atacado por desconocidos en esquipulas
022122guate,se llevan al jinete,restauraran la estatua que representaba al expresidente jose maria reyna barrios en la avenida reforma zona 10
022222nacional,accidentado regreso a clases,alumnos de los establecimientos publicos comienzan ciclo escolar entre carencias mala infraestructura y abandono
022222occidente,con alcohol y cubrebocas,ninos regresan a clases en diferentes modalidades en el occidente del pais
022222centro,dos anos y siguen cerradas,clases seran a distancia debido a que sacatepequez y chimaltenango estan en semaforo rojo
022222sur,padres exigen protocolos,separan en grupos a los alumnos para evitar aglomeraciones en las aulas de aldea las margaritas malacatan
022222norte,un ano sin reparar,estudiantes peligran por mal estado del techo de la cancha del instituto domingo juarros de puerto barrios
022222oriente,deben esperar,estudiantes no tendran clases presenciales por contagios en la region
022222guate,dia de alegria,estudiantes participan en inauguracion del ciclo escolar aunque las clases seguiran a distancia en el caserio lo de gomez san juan sacatepequez
022322nacional,sube el precio del pan,hasta el frances con frijoles se vuelve un lujo
022322occidente,entre la vida y la muerte,coyotes pierden control de picop en champollap san pedro sacatepequez
022322centro,cada vez mas pequeno,reducen tamano de pan popular ante incremento del precio en materia prima
022322sur,sacrifican calidad del pan,ante alza de insumos algunos hacen el producto mas pequeno y otros usan agua en lugar de leche en ayutla
022322norte,parecia un bulto y era un muerto,el cadaver de un hombre no identificado fue localizado por una mujer en morales
022322oriente,lo acusan de violacion,capturan a carlos cruz en zacapa y presunto complice sigue profugo
022322guate,precio se calienta,vecinos se preocupan porque cada vez es mas dificil llevar el pan diario a la mesa de los hogares
