id,fecha,day,month,year,region,titulo,subtitular,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional,modelo_portada,especial,publicidad,contraportada,modelo,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
031922nacional,19/03/2022,Saturday,March,2022,nacional,busazo deja tres muertos,camioneta que se dirigia a la capital a alta velocidad cae en barranco,4,0,1,0,1,0,2,0,0,0,0,modelo,1,4,13,100818,98922,7605,91317
032022nacional,20/03/2022,Sunday,March,2022,nacional,chamusca frustrada a balazos,hieren a nueve personas y asesinan a una en la cancha de la colonia santa fe,3,0,2,0,1,0,0,0,0,0,0,modelo,1,4,16,98539,96690,7946,88744
032122nacional,21/03/2022,Monday,March,2022,nacional,goza el barsa y sufre el madrid,los azulgranas golean 4 0 en el santiago bernabeu,4,0,2,1,0,1,0,0,0,1,0,internacional,1,7,9,105728,103331,7920,95411
032222nacional,22/03/2022,Tuesday,March,2022,nacional,cae por violador x2,nina de 12 anos lo acusa de abusar de ella,3,0,0,0,0,0,3,0,0,0,0,modelo,1,4,10,98961,96553,8917,87636
032322nacional,23/03/2022,Wednesday,March,2022,nacional,abuso contra menores x2,detienen a padres por maltratar a sus hijos,3,0,1,0,0,0,2,0,0,0,0,internacional,1,4,8,97501,95089,14391,80698
032422nacional,24/03/2022,Thursday,March,2022,nacional,la ahorcan con cable de luz,estaba desaparecida desde el martes pasado,3,0,1,0,2,0,0,0,0,0,0,deporte,1,6,6,99438,97013,9049,87964
032522nacional,25/03/2022,Friday,March,2022,nacional,mueren comprando cena para papa,el esposo de abigail y padre de jeisel frente a los feretros de sus familiares arrollados por trailer,2,0,1,0,1,0,0,0,0,0,1,deporte,1,5,18,97301,92877,7975,84902
032622nacional,26/03/2022,Saturday,March,2022,nacional,ejecutan a chofer de esmeralda,capturan a sicario que fingio ser pasajero para cometer el crimen,3,0,3,0,0,0,0,0,0,0,1,internacional,1,5,11,99952,98025,8449,89576
032722nacional,27/03/2022,Sunday,March,2022,nacional,asi operan los coyotes,como sardinas los migrantes arriesgan la vida en su viaje a estados unidos,4,0,2,0,0,0,1,1,0,0,0,deporte,0,4,13,99262,97384,6592,90792
032822nacional,28/03/2022,Monday,March,2022,nacional,ataques macabros contra mujeres,decapitan a dos y ya son cuatro las victimas localizadas en 10 dias en sector de la zona 25,3,0,1,0,0,0,2,0,0,0,1,publicidad externa,1,4,19,105213,102782,8268,94514
